timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160251.110,-10.254,-20.996,-28.809,-6.348,0.000
1676160251.114,1.953,-24.414,-30.273,5.371,0.000
1676160251.118,-14.160,-18.066,-35.645,-29.297,0.000
1676160251.122,-34.180,-20.508,-40.527,-54.688,0.000
1676160251.126,-16.602,-25.391,-39.062,-23.926,0.000
1676160251.130,9.277,-16.113,-37.109,3.418,0.000
1676160251.134,-0.488,-18.066,-39.062,-12.207,0.000
1676160251.138,-12.695,-16.602,-30.762,-30.762,0.000
1676160251.141,-10.742,-12.207,-28.809,-20.020,0.000
1676160251.145,2.930,-15.625,-29.785,6.836,0.000
1676160251.149,6.348,-13.672,-20.996,15.137,0.000
1676160251.153,-14.648,-12.695,-18.555,-6.348,0.000
1676160251.157,-26.367,-23.438,-24.902,-30.762,0.000
1676160251.161,-7.812,-27.344,-24.902,-3.418,0.000
1676160251.165,12.207,-18.555,-30.273,11.719,0.000
1676160251.169,-0.488,-9.766,-32.715,-21.973,0.000
1676160251.173,-24.902,-14.160,-30.273,-38.086,0.000
1676160251.177,-0.488,-12.207,-25.879,1.465,0.000
1676160251.181,25.391,-18.555,-24.414,24.902,0.000
1676160251.184,-1.953,-24.902,-25.391,-9.277,0.000
1676160251.188,-30.762,-17.578,-33.691,-37.598,0.000
1676160251.192,-18.066,-16.602,-34.668,-17.578,0.000
1676160251.196,11.230,-15.137,-21.973,16.113,0.000
1676160251.200,2.930,-13.672,-27.832,-4.883,0.000
1676160251.204,-32.227,-16.602,-32.227,-49.805,0.000
1676160251.208,-33.691,-26.367,-30.273,-36.621,0.000
1676160251.212,-1.465,-26.855,-28.809,-0.488,0.000
1676160251.216,-2.441,-19.531,-23.926,-3.418,0.000
1676160251.220,-31.738,-16.113,-30.273,-41.992,0.000
1676160251.224,-30.762,-17.090,-36.133,-46.875,0.000
1676160251.227,-2.441,-21.484,-33.203,-3.906,0.000
1676160251.231,5.371,-21.484,-30.273,6.348,0.000
1676160251.235,-21.484,-24.902,-35.645,-34.668,0.000
1676160251.239,-31.738,-26.855,-38.086,-48.828,0.000
1676160251.243,-0.488,-16.113,-32.227,2.441,0.000
1676160251.247,10.742,-13.672,-40.039,7.324,0.000
1676160251.251,-6.836,-13.184,-37.598,-33.203,0.000
1676160251.255,-26.367,-14.648,-29.297,-49.316,0.000
1676160251.259,-20.996,-20.020,-30.762,-24.902,0.000
1676160251.263,-0.488,-25.879,-39.551,0.488,0.000
1676160251.267,-2.441,-27.344,-45.410,-16.602,0.000
1676160251.270,-22.949,-18.066,-35.645,-43.945,0.000
1676160251.274,-20.508,-13.672,-41.016,-31.250,0.000
1676160251.278,9.766,-16.602,-48.340,12.695,0.000
1676160251.282,13.672,-19.531,-44.922,20.020,0.000
1676160251.286,-14.648,-25.391,-36.621,-13.672,0.000
1676160251.290,-29.297,-30.762,-33.691,-27.832,0.000
1676160251.294,-12.207,-32.227,-35.645,-4.883,0.000
1676160251.298,9.766,-22.949,-24.414,23.926,0.000
1676160251.302,-3.418,-16.113,-22.949,-10.742,0.000
1676160251.306,-32.227,-19.531,-36.621,-57.617,0.000
1676160251.309,-19.531,-20.020,-35.645,-26.367,0.000
1676160251.313,12.207,-15.625,-30.762,12.207,0.000
1676160251.317,8.301,-12.207,-31.250,-3.906,0.000
1676160251.321,-28.320,-15.625,-25.879,-41.992,0.000
1676160251.325,-20.508,-19.531,-23.438,-27.832,0.000
1676160251.329,14.160,-16.602,-28.809,14.160,0.000
1676160251.333,14.160,-14.648,-24.902,13.672,0.000
1676160251.337,-21.484,-24.902,-29.297,-34.668,0.000
1676160251.341,-34.668,-26.367,-40.527,-43.457,0.000
1676160251.345,-8.789,-20.996,-40.527,0.977,0.000
1676160251.349,0.000,-19.043,-32.715,7.324,0.000
1676160251.352,-23.926,-19.531,-31.738,-39.062,0.000
1676160251.356,-37.109,-20.996,-37.109,-47.363,0.000
1676160251.360,-15.137,-25.879,-34.180,-8.789,0.000
1676160251.364,2.441,-18.555,-32.715,3.906,0.000
1676160251.368,-13.184,-15.137,-41.016,-27.344,0.000
1676160251.372,-28.320,-20.020,-36.133,-57.129,0.000
1676160251.376,-4.883,-20.508,-36.133,-29.785,0.000
1676160251.380,11.230,-22.949,-44.434,6.348,0.000
1676160251.384,-5.371,-21.484,-42.969,-21.484,0.000
1676160251.388,-24.414,-19.043,-38.574,-48.828,0.000
1676160251.391,-13.672,-22.461,-30.273,-19.531,0.000
1676160251.395,2.441,-23.438,-32.715,16.113,0.000
1676160251.399,5.371,-14.648,-40.039,1.465,0.000
1676160251.403,-18.555,-20.996,-34.180,-38.086,0.000
1676160251.407,-33.691,-28.809,-29.785,-33.691,0.000
1676160251.411,-11.719,-27.344,-37.109,0.000,0.000
1676160251.415,-6.348,-28.809,-37.598,11.230,0.000
1676160251.419,-32.715,-33.203,-34.668,-16.113,0.000
1676160251.423,-44.434,-36.621,-31.738,-38.574,0.000
1676160251.427,-24.414,-24.902,-32.227,-16.602,0.000
1676160251.431,-3.418,-21.484,-43.945,3.906,0.000
1676160251.434,-14.648,-29.785,-47.852,-25.879,0.000
1676160251.438,-28.809,-23.926,-34.668,-41.992,0.000
1676160251.442,-13.672,-17.090,-35.156,-20.996,0.000
1676160251.446,1.953,-23.926,-38.086,9.277,0.000
1676160251.450,0.000,-30.762,-32.715,-0.977,0.000
1676160251.454,-25.391,-33.691,-41.016,-42.969,0.000
1676160251.458,-29.785,-32.715,-43.945,-42.480,0.000
1676160251.462,-2.441,-33.203,-37.598,-0.488,0.000
1676160251.466,1.953,-32.227,-32.715,3.906,0.000
1676160251.470,-26.855,-23.438,-33.203,-34.180,0.000
1676160251.474,-32.715,-20.996,-38.574,-41.992,0.000
1676160251.477,-9.766,-23.438,-38.574,-13.184,0.000
1676160251.481,10.742,-20.020,-31.250,12.207,0.000
1676160251.485,-7.812,-20.508,-30.762,-21.973,0.000
1676160251.489,-25.391,-17.578,-36.133,-51.758,0.000
1676160251.493,-0.488,-9.277,-30.273,-8.301,0.000
1676160251.497,23.926,-8.789,-33.203,16.113,0.000
1676160251.501,4.395,-16.602,-39.551,-23.438,0.000
