timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160123.270,161.133,-7.812,-72.754,206.543,0.000
1676160123.274,152.344,11.230,-44.922,134.766,0.000
1676160123.278,83.984,2.930,-58.105,54.688,0.000
1676160123.282,104.980,-4.883,-70.312,122.070,0.000
1676160123.286,162.109,0.977,-56.641,214.355,0.000
1676160123.290,145.508,8.301,-48.828,152.832,0.000
1676160123.294,89.355,11.719,-57.617,49.316,0.000
1676160123.297,97.656,8.789,-56.641,109.863,0.000
1676160123.301,151.367,9.277,-54.688,206.543,0.000
1676160123.305,153.809,18.555,-47.852,179.199,0.000
1676160123.309,90.820,24.902,-41.016,70.801,0.000
1676160123.313,56.152,13.672,-67.871,44.434,0.000
1676160123.317,116.211,11.719,-65.430,157.715,0.000
1676160123.321,155.273,20.996,-36.133,205.566,0.000
1676160123.325,68.359,9.766,-58.594,54.199,0.000
1676160123.329,25.391,7.812,-72.266,-6.348,0.000
1676160123.333,104.004,20.020,-48.828,133.789,0.000
1676160123.337,145.996,19.043,-47.363,186.035,0.000
1676160123.341,83.984,17.578,-60.059,75.195,0.000
1676160123.344,43.457,21.484,-47.852,17.578,0.000
1676160123.348,79.102,19.043,-44.434,96.191,0.000
1676160123.352,120.605,20.020,-49.316,170.410,0.000
1676160123.356,88.379,15.625,-51.758,101.074,0.000
1676160123.360,33.691,14.648,-48.828,-0.977,0.000
1676160123.364,80.566,29.297,-29.297,74.219,0.000
1676160123.368,111.816,15.625,-43.457,166.992,0.000
1676160123.372,53.223,-2.930,-75.684,77.637,0.000
1676160123.376,22.461,13.184,-55.664,-18.555,0.000
1676160123.380,15.625,11.230,-57.129,-1.465,0.000
1676160123.384,48.340,8.301,-60.059,94.727,0.000
1676160123.387,74.219,13.184,-52.734,112.793,0.000
1676160123.391,42.480,18.066,-38.086,25.879,0.000
1676160123.395,18.066,25.391,-27.344,-8.789,0.000
1676160123.399,57.129,18.066,-37.598,75.684,0.000
1676160123.403,85.938,15.137,-41.016,136.230,0.000
1676160123.407,57.617,20.996,-32.227,62.012,0.000
1676160123.411,38.086,25.391,-8.301,12.207,0.000
1676160123.415,20.508,7.812,-37.598,45.898,0.000
1676160123.419,41.504,-2.441,-69.336,90.820,0.000
1676160123.422,54.688,11.719,-45.410,64.941,0.000
1676160123.426,7.324,17.090,-30.273,-28.320,0.000
1676160123.430,-7.812,10.254,-42.480,-12.207,0.000
1676160123.434,46.875,19.043,-42.969,81.055,0.000
1676160123.438,69.824,27.832,-20.508,89.844,0.000
1676160123.442,11.719,34.668,-18.066,-15.137,0.000
1676160123.446,-20.996,36.133,-24.902,-49.316,0.000
1676160123.450,-4.395,20.020,-30.273,30.273,0.000
1676160123.454,32.227,36.621,-2.930,75.195,0.000
1676160123.458,-33.203,55.176,4.883,-44.434,0.000
1676160123.462,-145.996,34.668,-31.250,-178.223,0.000
1676160123.465,-110.352,31.250,-12.695,-101.074,0.000
1676160123.469,-71.777,42.969,20.996,-32.227,0.000
1676160123.473,-152.344,44.922,19.531,-147.461,0.000
1676160123.477,-257.812,38.574,5.859,-287.109,0.000
1676160123.481,-247.070,37.109,20.996,-247.070,0.000
1676160123.485,-213.867,34.668,27.832,-173.340,0.000
1676160123.489,-242.676,25.391,29.297,-227.539,0.000
1676160123.493,-283.691,31.250,36.621,-321.777,0.000
1676160123.497,-275.879,29.785,26.855,-313.965,0.000
1676160123.501,-198.730,34.668,32.227,-183.594,0.000
1676160123.505,-206.543,42.969,18.555,-192.871,0.000
1676160123.508,-259.766,43.945,15.137,-312.012,0.000
1676160123.512,-238.770,41.016,37.598,-287.109,0.000
1676160123.516,-187.500,31.738,28.809,-178.223,0.000
1676160123.520,-164.551,32.227,18.555,-148.438,0.000
1676160123.524,-183.105,43.945,23.926,-214.844,0.000
1676160123.528,-177.246,54.199,33.691,-228.027,0.000
1676160123.532,-138.672,46.387,21.484,-151.367,0.000
1676160123.536,-100.586,39.551,8.301,-90.332,0.000
1676160123.540,-102.539,50.781,17.578,-122.070,0.000
1676160123.544,-115.723,57.129,20.996,-173.828,0.000
1676160123.547,-93.262,41.016,2.441,-112.305,0.000
1676160123.551,-73.242,18.555,-40.039,-56.641,0.000
1676160123.555,-40.039,23.438,-34.668,-46.387,0.000
1676160123.559,-62.500,27.344,-15.625,-104.980,0.000
1676160123.563,-64.941,24.414,-24.902,-91.797,0.000
1676160123.567,0.977,18.555,-28.320,25.391,0.000
1676160123.571,56.152,20.996,-14.160,66.895,0.000
1676160123.575,27.832,23.438,-14.648,-10.742,0.000
1676160123.579,-1.465,9.277,-34.180,-39.551,0.000
1676160123.583,65.918,-4.395,-38.086,73.242,0.000
1676160123.587,119.629,1.953,-31.738,142.578,0.000
1676160123.590,105.469,10.254,-27.832,98.145,0.000
1676160123.594,54.199,-5.859,-44.434,20.996,0.000
1676160123.598,97.656,-7.324,-55.176,99.121,0.000
1676160123.602,179.199,4.395,-53.223,210.938,0.000
1676160123.606,164.062,7.324,-29.785,160.645,0.000
1676160123.610,100.586,7.812,-20.020,66.895,0.000
1676160123.614,117.676,6.348,-31.250,106.934,0.000
1676160123.618,202.148,12.207,-24.902,234.375,0.000
1676160123.622,216.309,26.367,-28.320,229.492,0.000
1676160123.626,164.062,23.926,-36.621,125.488,0.000
1676160123.629,142.090,10.254,-44.922,115.234,0.000
1676160123.633,221.191,21.973,-31.250,235.840,0.000
1676160123.637,246.094,29.297,-25.391,274.902,0.000
1676160123.641,142.578,9.766,-55.176,144.531,0.000
1676160123.645,110.840,4.883,-64.453,91.309,0.000
1676160123.649,181.641,12.207,-55.664,204.590,0.000
1676160123.653,212.891,8.789,-57.617,253.418,0.000
1676160123.657,172.852,12.695,-56.152,169.434,0.000
1676160123.661,137.695,18.066,-45.410,111.328,0.000
1676160123.665,147.461,9.766,-49.316,168.457,0.000
1676160123.669,174.316,3.906,-62.988,223.633,0.000
1676160123.672,167.480,13.672,-57.129,173.340,0.000
1676160123.676,127.441,22.461,-41.504,95.703,0.000
1676160123.680,136.230,19.531,-40.527,141.113,0.000
1676160123.684,172.852,16.113,-51.270,225.586,0.000
1676160123.688,161.621,17.578,-57.617,190.918,0.000
1676160123.692,128.418,30.273,-39.062,114.258,0.000
1676160123.696,120.605,27.832,-30.273,129.395,0.000
1676160123.700,132.812,10.254,-64.941,188.477,0.000
1676160123.704,160.156,22.949,-66.406,210.449,0.000
1676160123.708,140.137,36.621,-43.945,145.996,0.000
1676160123.712,98.633,31.250,-46.387,106.445,0.000
1676160123.715,133.301,30.762,-52.246,175.293,0.000
1676160123.719,191.895,37.109,-36.133,239.258,0.000
1676160123.723,165.527,39.551,-21.973,186.523,0.000
1676160123.727,109.863,33.691,-23.926,105.957,0.000
1676160123.731,111.816,24.902,-39.062,130.859,0.000
1676160123.735,130.371,17.578,-57.129,188.477,0.000
1676160123.739,168.457,37.598,-23.926,198.730,0.000
1676160123.743,121.582,44.922,-24.902,107.422,0.000
1676160123.747,54.688,24.414,-69.824,51.270,0.000
1676160123.751,122.070,29.297,-51.270,165.527,0.000
1676160123.755,133.789,27.344,-46.387,178.223,0.000
1676160123.758,65.430,26.367,-49.805,62.012,0.000
1676160123.762,46.387,23.438,-47.363,30.762,0.000
1676160123.766,104.492,16.113,-48.340,127.930,0.000
1676160123.770,140.625,25.391,-42.480,184.570,0.000
1676160123.774,99.121,32.715,-36.133,103.516,0.000
1676160123.778,45.410,27.832,-40.039,23.926,0.000
1676160123.782,76.172,22.949,-49.316,94.238,0.000
1676160123.786,150.879,31.738,-25.879,211.426,0.000
