timestamps,TP9,AF7,AF8,TP10,Right AUX
1676160185.820,70.312,-43.457,-81.543,85.938,0.000
1676160185.824,81.543,-48.340,-115.234,100.586,0.000
1676160185.828,24.902,-64.453,-51.758,16.602,0.000
1676160185.832,19.043,-125.488,-80.566,16.113,0.000
1676160185.836,53.711,-115.234,-112.305,77.148,0.000
1676160185.840,113.770,-20.996,-77.148,150.391,0.000
1676160185.843,72.266,85.938,2.441,85.449,0.000
1676160185.847,-39.551,187.012,-91.309,-48.340,0.000
1676160185.851,-57.129,131.348,-83.984,-42.480,0.000
1676160185.855,-58.594,276.855,-25.879,-16.113,0.000
1676160185.859,-122.559,212.402,-69.824,-83.984,0.000
1676160185.863,-194.336,78.125,-147.461,-169.434,0.000
1676160185.867,-120.117,183.105,-298.828,-82.031,0.000
1676160185.871,-61.035,220.703,-299.805,6.836,0.000
1676160185.875,-160.645,208.984,-187.012,-100.586,0.000
1676160185.879,-227.051,191.406,-196.289,-194.824,0.000
1676160185.883,-246.094,232.422,-165.527,-203.613,0.000
1676160185.886,-194.824,177.246,-238.770,-103.516,0.000
1676160185.890,-144.531,218.262,-230.469,-49.805,0.000
1676160185.894,-196.289,263.184,-208.008,-147.461,0.000
1676160185.898,-192.871,378.418,-233.398,-141.602,0.000
1676160185.902,-164.551,334.961,-197.266,-83.008,0.000
1676160185.906,-234.375,320.312,-235.840,-149.902,0.000
1676160185.910,-368.652,361.816,-214.844,-312.012,0.000
1676160185.914,-401.855,301.270,-202.148,-366.211,0.000
1676160185.918,-344.238,265.137,-220.703,-286.133,0.000
1676160185.922,-269.531,213.867,-236.816,-188.965,0.000
1676160185.926,-246.094,233.398,-222.656,-177.246,0.000
1676160185.929,-279.785,228.516,-204.590,-232.422,0.000
1676160185.933,-276.855,239.258,-203.613,-206.543,0.000
1676160185.937,-242.676,281.250,-226.562,-137.207,0.000
1676160185.941,-228.027,253.906,-235.840,-136.719,0.000
1676160185.945,-235.352,243.164,-226.074,-152.832,0.000
1676160185.949,-238.281,243.652,-205.078,-141.602,0.000
1676160185.953,-210.938,190.430,-206.055,-93.262,0.000
1676160185.957,-181.152,266.113,-219.238,-54.199,0.000
1676160185.961,-180.176,294.434,-187.988,-79.590,0.000
1676160185.965,-185.547,291.992,-170.410,-117.188,0.000
1676160185.968,-159.180,330.566,-164.551,-83.008,0.000
1676160185.972,-119.629,328.125,-171.387,-35.645,0.000
1676160185.976,-128.906,316.895,-183.594,-77.148,0.000
1676160185.980,-148.926,315.918,-180.664,-141.113,0.000
1676160185.984,-127.930,336.914,-169.922,-116.211,0.000
1676160185.988,-72.754,361.816,-149.414,-33.691,0.000
1676160185.992,-29.297,368.652,-121.582,-4.395,0.000
1676160185.996,-70.312,386.230,-127.441,-91.309,0.000
1676160186.000,-63.477,404.785,-128.906,-95.703,0.000
1676160186.004,6.836,406.250,-108.398,2.441,0.000
1676160186.008,29.785,429.199,-87.891,20.020,0.000
1676160186.011,10.742,448.730,-75.195,-32.227,0.000
1676160186.015,3.906,449.219,-57.617,-31.250,0.000
1676160186.019,56.152,459.961,-29.297,53.223,0.000
1676160186.023,85.938,462.891,-23.438,88.379,0.000
1676160186.027,63.965,451.660,-10.254,46.387,0.000
1676160186.031,43.457,438.477,0.977,8.301,0.000
1676160186.035,59.570,416.504,-9.766,45.410,0.000
1676160186.039,86.914,419.922,12.695,102.539,0.000
1676160186.043,71.777,431.641,27.832,64.453,0.000
1676160186.047,37.598,413.086,36.621,-3.418,0.000
1676160186.051,53.711,382.812,41.992,27.832,0.000
1676160186.054,103.027,369.141,36.621,105.469,0.000
